User[all-users],GestureType[all-gesture-types],RandomIteration[1to10],#ofTrainingExample[E],TotalSizeOfTrainingSet[count],TrainingSetContents[specific-gesture-instances],Candidate[specific-instance],RecoResultGestureType[what-was-recognized],CorrectIncorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted[instance-and-score]
10,arrowhead,1,1,16,10-D07-1;10-H04-1;10-I03-1;10-N09-1;10-P07-1;10-T08-1;10-X07-1;10-arrowhead07-1;10-asterisk08-1;10-exclamation_point05-1;10-five_point_star08-1;10-half_note07-1;10-line08-1;10-null07-1;10-pitchfork07-1;10-six_point_star08-1;,10-arrowhead07,arrowhead,1,0.998959,10-arrowhead07,arrowhead07;0.998959;X07;0.765872;T08;0.720253;H04;0.707595;half_note07;0.704325;N09;0.691706;H04;0.683808;X07;0.68186;T08;0.665034;exclamation_point05;0.6643;exclamation_point05;0.6643;pitchfork07;0.662157;asterisk08;0.657314;D07;0.657108;N09;0.656653;N09;0.654674;X07;0.637169;H04;0.6328;line08;0.631169;line08;0.626737;asterisk08;0.625451;P07;0.620781;H04;0.620169;exclamation_point05;0.618826;exclamation_point05;0.618826;H04;0.6133;exclamation_point05;0.608474;exclamation_point05;0.608474;H04;0.598316;N09;0.593815;asterisk08;0.590929;six_point_star08;0.575576;asterisk08;0.574855;null07;0.57311;I03;0.571673;asterisk08;0.571241;asterisk08;0.564372;X07;0.562765;null07;0.554936;pitchfork07;0.553595;asterisk08;0.553213;asterisk08;0.552378;N09;0.552143;N09;0.549244;asterisk08;0.547832;I03;0.546639;asterisk08;0.542628;five_point_star08;0.540458;asterisk08;0.539537;asterisk08;0.535356;
10,P,2,1,16,10-H01-2;10-H03-2;10-N01-2;10-P01-2;10-P03-2;10-T05-2;10-X05-2;10-arrowhead05-2;10-asterisk08-2;10-exclamation_point04-2;10-five_point_star04-2;10-half_note03-2;10-line06-2;10-null05-2;10-pitchfork02-2;10-six_point_star10-2;,10-P06,P,1,0.937519,10-P03,P03;0.937519;P01;0.842956;N01;0.791823;N01;0.745297;H01;0.726289;H01;0.725525;asterisk08;0.715633;asterisk08;0.705486;H03;0.695618;asterisk08;0.694744;arrowhead05;0.694522;N01;0.670196;H01;0.663012;H03;0.661128;N01;0.655907;asterisk08;0.652341;H03;0.648435;null05;0.643813;H01;0.641877;H01;0.640041;H01;0.634997;H03;0.634548;asterisk08;0.629822;half_note03;0.629057;half_note03;0.625122;H03;0.621978;N01;0.611785;N01;0.611599;H01;0.605567;H01;0.601061;asterisk08;0.596715;H03;0.594287;P03;0.590973;H01;0.587175;H03;0.585014;H01;0.58129;null05;0.573702;H01;0.573071;null05;0.569296;T05;0.568437;H03;0.566878;asterisk08;0.565236;T05;0.563219;P01;0.5602;H03;0.557723;six_point_star10;0.555874;asterisk08;0.555334;N01;0.554702;H03;0.554151;N01;0.55411;
10,arrowhead,3,1,16,10-D07-3;10-H10-3;10-I03-3;10-N07-3;10-P03-3;10-T07-3;10-X09-3;10-arrowhead03-3;10-asterisk04-3;10-exclamation_point10-3;10-five_point_star05-3;10-half_note07-3;10-line08-3;10-pitchfork01-3;10-pitchfork05-3;10-six_point_star08-3;,10-arrowhead07,arrowhead,1,0.947375,10-arrowhead03,arrowhead03;0.947375;T07;0.726195;X09;0.716729;X09;0.712032;pitchfork01;0.708071;half_note07;0.704325;T07;0.672123;pitchfork01;0.668498;pitchfork05;0.664817;exclamation_point10;0.657813;D07;0.657108;exclamation_point10;0.650853;H10;0.649762;N07;0.648952;N07;0.645664;exclamation_point10;0.642389;exclamation_point10;0.642299;N07;0.639255;line08;0.631169;exclamation_point10;0.631093;exclamation_point10;0.630114;line08;0.626737;X09;0.621035;H10;0.603819;X09;0.599403;H10;0.596405;asterisk04;0.595768;asterisk04;0.58607;T07;0.575974;six_point_star08;0.575576;asterisk04;0.575343;I03;0.571673;N07;0.565919;pitchfork05;0.563294;five_point_star05;0.562655;asterisk04;0.558459;asterisk04;0.556939;asterisk04;0.556166;N07;0.553958;I03;0.546639;asterisk04;0.545537;asterisk04;0.542616;N07;0.539387;pitchfork01;0.53899;asterisk04;0.535748;asterisk04;0.535061;H10;0.533784;asterisk04;0.532733;asterisk04;0.522963;asterisk04;0.521374;
10,null,4,1,16,10-D08-4;10-I01-4;10-I09-4;10-N03-4;10-P05-4;10-T04-4;10-arrowhead01-4;10-arrowhead04-4;10-asterisk09-4;10-exclamation_point05-4;10-five_point_star05-4;10-line01-4;10-line08-4;10-null04-4;10-pitchfork02-4;10-six_point_star10-4;,10-null10,null,1,0.852776,10-null04,null04;0.852776;six_point_star10;0.714935;pitchfork02;0.662209;P05;0.642161;N03;0.639774;N03;0.625127;arrowhead01;0.61822;N03;0.609847;D08;0.609386;arrowhead01;0.600438;arrowhead04;0.600087;N03;0.57927;I09;0.578805;N03;0.574717;N03;0.572933;N03;0.56868;arrowhead04;0.565448;P05;0.557467;I01;0.550553;I01;0.540994;pitchfork02;0.539174;N03;0.539171;six_point_star10;0.538948;N03;0.537512;I09;0.524768;I09;0.523414;I01;0.520672;N03;0.510439;I09;0.509082;I09;0.509001;T04;0.506153;N03;0.501701;five_point_star05;0.486617;P05;0.478401;I09;0.477423;I09;0.473401;I09;0.470769;I01;0.467585;P05;0.45935;six_point_star10;0.457209;T04;0.452035;I09;0.445532;I09;0.440359;I01;0.438642;T04;0.436717;N03;0.435699;D08;0.434611;null04;0.430377;I09;0.426842;I01;0.425264;
10,H,5,1,16,10-H01-5;10-H05-5;10-I03-5;10-N04-5;10-P02-5;10-X01-5;10-X05-5;10-arrowhead06-5;10-asterisk10-5;10-exclamation_point08-5;10-half_note01-5;10-half_note05-5;10-line07-5;10-null08-5;10-pitchfork04-5;10-six_point_star09-5;,10-H01,H,1,0.998795,10-H01,H01;0.998795;H05;0.891019;H05;0.858527;H01;0.853857;I03;0.795573;H01;0.7756;arrowhead06;0.768086;I03;0.765915;P02;0.745277;N04;0.741432;H05;0.73669;H01;0.732706;N04;0.723103;H05;0.720474;H01;0.708506;H01;0.705411;asterisk10;0.704565;H05;0.700592;H05;0.697398;I03;0.696571;N04;0.691167;half_note01;0.690782;N04;0.687538;H05;0.686097;H01;0.682218;P02;0.676936;H01;0.672505;I03;0.670516;I03;0.668627;I03;0.6683;asterisk10;0.667212;H05;0.659058;N04;0.655745;H05;0.654083;I03;0.648343;half_note01;0.642086;N04;0.636298;asterisk10;0.634992;I03;0.631751;H01;0.631542;H01;0.625764;I03;0.619904;H05;0.61676;asterisk10;0.614841;asterisk10;0.611836;H01;0.608498;I03;0.60725;asterisk10;0.601883;exclamation_point08;0.601777;exclamation_point08;0.599763;
10,P,6,1,16,10-D08-6;10-H06-6;10-I06-6;10-N08-6;10-P04-6;10-T10-6;10-X06-6;10-arrowhead07-6;10-asterisk09-6;10-five_point_star01-6;10-five_point_star09-6;10-half_note09-6;10-line09-6;10-null03-6;10-six_point_star01-6;10-six_point_star10-6;,10-P09,P,1,0.861250,10-P04,P04;0.86125;arrowhead07;0.738806;N08;0.734628;N08;0.732729;H06;0.729017;asterisk09;0.715575;H06;0.706901;N08;0.693356;N08;0.690615;asterisk09;0.685373;P04;0.683552;half_note09;0.680962;asterisk09;0.677599;half_note09;0.676618;asterisk09;0.666389;H06;0.666341;H06;0.649742;asterisk09;0.649453;asterisk09;0.641306;asterisk09;0.637544;H06;0.636681;asterisk09;0.634927;asterisk09;0.632596;D08;0.630894;X06;0.627278;H06;0.623532;H06;0.620925;asterisk09;0.613174;H06;0.610973;T10;0.604549;asterisk09;0.600125;asterisk09;0.599034;I06;0.595792;H06;0.594597;null03;0.594458;asterisk09;0.592992;asterisk09;0.592655;H06;0.590712;arrowhead07;0.587784;I06;0.582783;I06;0.582695;N08;0.577885;asterisk09;0.577505;N08;0.571072;asterisk09;0.570272;I06;0.56853;asterisk09;0.565611;asterisk09;0.563971;null03;0.563105;T10;0.561827;
10,D,7,1,16,10-D02-7;10-H07-7;10-I10-7;10-N04-7;10-P10-7;10-T02-7;10-X06-7;10-arrowhead02-7;10-asterisk09-7;10-exclamation_point08-7;10-five_point_star10-7;10-half_note08-7;10-line04-7;10-null07-7;10-pitchfork06-7;10-six_point_star07-7;,10-D06,D,1,0.910349,10-D02,D02;0.910349;I10;0.852235;N04;0.802232;P10;0.765813;I10;0.764956;arrowhead02;0.752963;arrowhead02;0.752652;H07;0.751386;arrowhead02;0.751176;arrowhead02;0.749609;H07;0.744454;arrowhead02;0.689765;arrowhead02;0.689318;N04;0.684388;H07;0.668523;N04;0.639507;N04;0.635704;H07;0.630772;asterisk09;0.628088;I10;0.620979;H07;0.62023;I10;0.618591;N04;0.615354;N04;0.605688;N04;0.60114;asterisk09;0.600021;N04;0.596322;asterisk09;0.595868;I10;0.59526;N04;0.594261;asterisk09;0.59207;asterisk09;0.588884;asterisk09;0.587649;asterisk09;0.587438;asterisk09;0.584266;T02;0.582265;asterisk09;0.577193;I10;0.574746;asterisk09;0.572758;H07;0.570495;N04;0.569761;asterisk09;0.569453;H07;0.562283;pitchfork06;0.559278;H07;0.553919;H07;0.549772;H07;0.54642;asterisk09;0.544592;N04;0.541694;asterisk09;0.53781;
10,five_point_star,8,1,16,10-D06-8;10-H02-8;10-I10-8;10-P01-8;10-P03-8;10-T03-8;10-X07-8;10-asterisk01-8;10-exclamation_point01-8;10-exclamation_point10-8;10-five_point_star06-8;10-line01-8;10-line09-8;10-null07-8;10-pitchfork05-8;10-six_point_star02-8;,10-five_point_star07,six_point_star,0,0.674820,10-six_point_star02,six_point_star02;0.67482;null07;0.638703;pitchfork05;0.620645;five_point_star06;0.611398;H02;0.602655;six_point_star02;0.580559;six_point_star02;0.564302;asterisk01;0.559955;null07;0.551915;asterisk01;0.541801;asterisk01;0.529938;I10;0.518468;asterisk01;0.518446;X07;0.510992;six_point_star02;0.506552;H02;0.503365;H02;0.485021;I10;0.469901;H02;0.468785;H02;0.464634;I10;0.463398;H02;0.461091;P03;0.452933;H02;0.452768;T03;0.448824;I10;0.441303;P01;0.437004;I10;0.429927;P01;0.427627;exclamation_point10;0.424608;H02;0.421062;asterisk01;0.42071;asterisk01;0.419574;I10;0.419016;I10;0.413954;I10;0.413454;I10;0.409373;asterisk01;0.409018;X07;0.407918;D06;0.405222;I10;0.40483;I10;0.401607;T03;0.40156;I10;0.40037;H02;0.390388;T03;0.389471;asterisk01;0.384473;I10;0.384333;P03;0.384232;I10;0.383223;
10,I,9,1,16,10-D08-9;10-H10-9;10-I05-9;10-N02-9;10-P04-9;10-T06-9;10-X04-9;10-arrowhead08-9;10-asterisk02-9;10-exclamation_point09-9;10-five_point_star09-9;10-half_note03-9;10-line04-9;10-null05-9;10-six_point_star01-9;10-six_point_star04-9;,10-I09,N,0,0.849011,10-N02,N02;0.849011;I05;0.812022;N02;0.781475;I05;0.705195;N02;0.690691;N02;0.645394;I05;0.620034;N02;0.601873;I05;0.590111;N02;0.57628;N02;0.57405;P04;0.548858;N02;0.530399;N02;0.527149;I05;0.523125;arrowhead08;0.514263;N02;0.508722;I05;0.49967;D08;0.495853;D08;0.493482;I05;0.488603;P04;0.48258;N02;0.442634;null05;0.433976;six_point_star01;0.426075;N02;0.409068;I05;0.402643;N02;0.401157;N02;0.398773;six_point_star04;0.387679;N02;0.386801;N02;0.338793;six_point_star01;0.328604;six_point_star04;0.311398;six_point_star01;0.222342;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;
10,D,1,2,32,10-H01-1;10-D03-1;10-H09-1;10-H02-1;10-I10-1;10-N01-1;10-N10-1;10-P01-1;10-P02-1;10-P10-1;10-T10-1;10-T07-1;10-X06-1;10-arrowhead01-1;10-arrowhead04-1;10-arrowhead06-1;10-asterisk06-1;10-asterisk02-1;10-exclamation_point04-1;10-exclamation_point02-1;10-five_point_star09-1;10-five_point_star09-1;10-half_note06-1;10-half_note02-1;10-line02-1;10-line04-1;10-null08-1;10-pitchfork01-1;10-pitchfork10-1;10-pitchfork03-1;10-six_point_star05-1;10-six_point_star04-1;,10-D08,D,1,0.944892,10-D03,D03;0.944892;I10;0.841895;N10;0.821868;N01;0.81827;P02;0.778331;P10;0.774974;I10;0.759136;H02;0.748209;H09;0.746193;H01;0.717088;H02;0.716873;H09;0.710491;N10;0.693666;N01;0.692434;H01;0.689413;H09;0.68621;N10;0.666466;H09;0.664256;N01;0.663984;P01;0.660114;H09;0.659258;H02;0.656474;arrowhead01;0.648173;N01;0.64805;asterisk02;0.645625;N01;0.642703;H01;0.635931;H02;0.63588;H09;0.633077;N01;0.630507;asterisk06;0.629512;N10;0.626959;asterisk02;0.625147;H01;0.613398;asterisk02;0.611082;H02;0.611077;H01;0.610552;null08;0.609243;asterisk06;0.60881;I10;0.603916;asterisk02;0.596979;H09;0.594765;I10;0.590975;asterisk06;0.590557;N01;0.589865;asterisk06;0.58977;H01;0.589739;H01;0.589463;I10;0.58867;N10;0.58854;
