User[all-users],GestureType[all-gesture-types],RandomIteration[1to10],#ofTrainingExample[E],TotalSizeOfTrainingSet[count],TrainingSetContents[specific-gesture-instances],Candidate[specific-instance],RecoResultGestureType[what-was-recognized],CorrectIncorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted[instance-and-score]
10,X,1,1,32,10-D08-1;10-D03-1;10-H05-1;10-H02-1;10-N01-1;10-I09-1;10-N03-1;10-N05-1;10-P09-1;10-P10-1;10-T07-1;10-T03-1;10-X05-1;10-arrowhead01-1;10-arrowhead05-1;10-arrowhead02-1;10-asterisk04-1;10-asterisk09-1;10-five_point_star01-1;10-exclamation_point07-1;10-five_point_star05-1;10-five_point_star08-1;10-half_note08-1;10-half_note05-1;10-null01-1;10-null01-1;10-null06-1;10-null09-1;10-pitchfork09-1;10-pitchfork09-1;10-six_point_star10-1;10-six_point_star02-1;,10-X02,X,1,0.894970,10-X05,X05;0.89497;X05;0.821245;X05;0.810645;arrowhead01;0.789421;pitchfork09;0.78209;pitchfork09;0.78209;T07;0.76892;X05;0.746573;null01;0.743633;null01;0.743633;exclamation_point07;0.743299;exclamation_point07;0.741621;null09;0.737538;arrowhead02;0.734059;arrowhead02;0.733343;arrowhead01;0.725131;arrowhead02;0.692924;arrowhead02;0.690546;T07;0.688503;null06;0.685196;N01;0.683453;exclamation_point07;0.682792;exclamation_point07;0.680144;pitchfork09;0.670307;pitchfork09;0.670307;N01;0.665459;N05;0.664757;null01;0.662349;null01;0.662349;T03;0.661207;arrowhead05;0.656304;N05;0.651904;asterisk04;0.6516;T03;0.651103;asterisk04;0.648258;arrowhead02;0.647329;arrowhead02;0.646312;arrowhead01;0.645539;N03;0.637717;T03;0.633906;I09;0.631561;I09;0.622719;I09;0.613651;N01;0.612473;N03;0.611588;H02;0.610834;P10;0.60883;N05;0.602714;arrowhead02;0.602545;arrowhead02;0.600357;
10,P,2,1,32,10-D04-2;10-D04-2;10-H05-2;10-H06-2;10-I05-2;10-N01-2;10-N07-2;10-P01-2;10-P06-2;10-P06-2;10-T04-2;10-T02-2;10-X09-2;10-arrowhead01-2;10-asterisk01-2;10-asterisk01-2;10-asterisk09-2;10-asterisk06-2;10-exclamation_point02-2;10-five_point_star01-2;10-five_point_star03-2;10-five_point_star10-2;10-half_note05-2;10-half_note08-2;10-line08-2;10-line08-2;10-null02-2;10-null05-2;10-pitchfork02-2;10-pitchfork08-2;10-six_point_star10-2;10-six_point_star05-2;,10-P05,P,1,0.908402,10-P01,P01;0.908402;P06;0.904468;P06;0.904468;N01;0.770118;N01;0.751995;H06;0.751929;H06;0.743462;asterisk06;0.732747;asterisk09;0.729203;N07;0.721414;asterisk09;0.714616;I05;0.713331;I05;0.712341;asterisk09;0.710865;N07;0.706438;asterisk06;0.698109;N01;0.695628;H05;0.692092;H06;0.690711;I05;0.688115;H05;0.686506;N07;0.685164;D04;0.683067;D04;0.683067;half_note05;0.680458;asterisk09;0.670712;null05;0.665285;asterisk01;0.664437;asterisk01;0.664437;asterisk01;0.663987;asterisk01;0.663987;asterisk06;0.662589;N07;0.660819;half_note05;0.658401;asterisk09;0.656694;half_note08;0.653155;asterisk06;0.651864;asterisk01;0.647627;asterisk01;0.647627;asterisk09;0.647595;H05;0.645301;asterisk01;0.64528;asterisk01;0.64528;asterisk01;0.645063;asterisk01;0.645063;H06;0.643505;H06;0.640441;asterisk01;0.639445;asterisk01;0.639445;asterisk09;0.639248;
10,N,1,2,32,10-D03-1;10-D07-1;10-H04-1;10-H08-1;10-I08-1;10-I09-1;10-P01-1;10-N05-1;10-P08-1;10-P04-1;10-T08-1;10-T03-1;10-X08-1;10-X04-1;10-arrowhead04-1;10-arrowhead08-1;10-asterisk09-1;10-asterisk10-1;10-exclamation_point07-1;10-exclamation_point09-1;10-five_point_star05-1;10-five_point_star03-1;10-half_note10-1;10-half_note04-1;10-line10-1;10-line06-1;10-null10-1;10-null05-1;10-pitchfork08-1;10-pitchfork10-1;10-six_point_star10-1;10-six_point_star08-1;,10-N05,N,1,0.998719,10-N05,N05;0.998719;I08;0.819052;N05;0.810712;I09;0.764366;I09;0.734864;I08;0.731371;I08;0.730749;I09;0.692037;I08;0.672889;N05;0.659956;H08;0.638756;I08;0.62997;I09;0.628867;H08;0.625835;H08;0.616011;I08;0.612003;I09;0.608075;H08;0.606748;I09;0.602859;I09;0.601001;T08;0.597257;I08;0.595841;N05;0.589709;N05;0.586486;T03;0.585906;I09;0.581231;H08;0.580864;I08;0.576685;H04;0.575671;H04;0.573385;N05;0.571265;N05;0.570072;H04;0.569235;I09;0.568936;H04;0.568685;I08;0.567477;N05;0.564931;H04;0.562823;H04;0.560951;T03;0.559068;H08;0.55612;N05;0.555102;P01;0.554887;I08;0.553202;I08;0.55004;H08;0.54691;N05;0.544154;D07;0.543571;I09;0.539377;T08;0.539106;
10,D,2,2,32,10-D05-2;10-D05-2;10-H02-2;10-H03-2;10-I03-2;10-I06-2;10-P01-2;10-P01-2;10-P04-2;10-P07-2;10-T03-2;10-T05-2;10-X09-2;10-X10-2;10-arrowhead06-2;10-arrowhead07-2;10-asterisk07-2;10-asterisk05-2;10-exclamation_point10-2;10-exclamation_point10-2;10-five_point_star02-2;10-five_point_star02-2;10-line01-2;10-half_note03-2;10-line05-2;10-line05-2;10-null09-2;10-null04-2;10-pitchfork02-2;10-pitchfork05-2;10-six_point_star03-2;10-six_point_star07-2;,10-D06,D,1,0.954981,10-D05,D05;0.954981;D05;0.954981;I06;0.82335;I03;0.80013;H03;0.76998;H02;0.768564;I03;0.762172;I06;0.755556;P07;0.748358;H02;0.739851;P04;0.733374;H03;0.725852;H02;0.676335;arrowhead07;0.654907;P01;0.650395;P01;0.650395;asterisk07;0.640056;H03;0.63591;asterisk05;0.634348;H02;0.626977;arrowhead06;0.625252;null09;0.618753;asterisk07;0.616436;H02;0.609955;H03;0.607198;I03;0.606225;I03;0.60549;asterisk07;0.601289;asterisk05;0.600941;asterisk07;0.59914;H03;0.59742;asterisk05;0.59672;I06;0.59323;null04;0.592824;asterisk07;0.59023;asterisk05;0.588539;I03;0.587523;T05;0.586073;asterisk07;0.585909;I06;0.5838;asterisk05;0.582282;asterisk05;0.582018;H02;0.581697;H03;0.579563;asterisk07;0.578669;asterisk05;0.57818;asterisk07;0.577908;asterisk07;0.576546;asterisk07;0.575645;asterisk05;0.57516;
10,H,1,3,32,10-D02-1;10-H01-1;10-H05-1;10-H02-1;10-I06-1;10-I05-1;10-P01-1;10-N10-1;10-T01-1;10-P03-1;10-T09-1;10-T09-1;10-X06-1;10-X02-1;10-arrowhead09-1;10-arrowhead10-1;10-asterisk03-1;10-asterisk09-1;10-exclamation_point03-1;10-five_point_star01-1;10-five_point_star10-1;10-five_point_star04-1;10-half_note08-1;10-half_note04-1;10-null01-1;10-line10-1;10-null08-1;10-null07-1;10-pitchfork06-1;10-pitchfork07-1;10-six_point_star10-1;10-six_point_star02-1;,10-H01,H,1,0.998795,10-H01,H01;0.998795;H02;0.905212;H05;0.891019;H02;0.862154;H05;0.858527;H01;0.853857;H01;0.7756;H02;0.748174;arrowhead09;0.741328;I05;0.740944;arrowhead10;0.738107;I05;0.737797;H05;0.73669;H01;0.732706;N10;0.729925;P01;0.729622;N10;0.727514;H05;0.720474;P03;0.717437;H02;0.714179;H01;0.708506;H02;0.707868;H02;0.70626;H01;0.705411;H05;0.700592;T01;0.697763;H05;0.697398;T09;0.692209;T09;0.692209;I05;0.690561;H02;0.688954;I06;0.687878;I05;0.687326;N10;0.686368;H05;0.686097;I05;0.685437;I05;0.683064;H01;0.682218;H01;0.672505;T01;0.665291;half_note08;0.663457;H05;0.659058;H02;0.657448;N10;0.657369;H05;0.654083;I05;0.642166;I05;0.641005;N10;0.639616;H02;0.635517;I06;0.634946;
10,N,2,3,32,10-D06-2;10-D02-2;10-H05-2;10-H03-2;10-I05-2;10-I08-2;10-P01-2;10-N02-2;10-P03-2;10-P09-2;10-X01-2;10-X01-2;10-arrowhead01-2;10-X02-2;10-arrowhead03-2;10-arrowhead06-2;10-asterisk08-2;10-asterisk08-2;10-exclamation_point10-2;10-five_point_star01-2;10-five_point_star03-2;10-five_point_star09-2;10-half_note07-2;10-line01-2;10-line06-2;10-line08-2;10-null06-2;10-null10-2;10-pitchfork08-2;10-pitchfork03-2;10-six_point_star10-2;10-six_point_star04-2;,10-N04,N,1,0.884466,10-N02,N02;0.884466;I08;0.809012;H05;0.716004;H05;0.707386;I05;0.702536;N02;0.696715;I05;0.67914;H03;0.676821;H05;0.675345;I08;0.672248;H05;0.661605;H03;0.652157;I08;0.641904;I05;0.636459;H03;0.634524;I05;0.632962;I05;0.623681;N02;0.620387;H03;0.617818;I05;0.610274;N02;0.609581;H03;0.606439;H05;0.602827;I08;0.600801;I08;0.59738;I05;0.59104;I08;0.584673;H05;0.583211;I08;0.576261;N02;0.574657;arrowhead01;0.573865;P01;0.573673;I08;0.570931;arrowhead03;0.570173;D02;0.567112;H05;0.565857;I05;0.565146;H03;0.564361;D06;0.56262;H05;0.562134;H05;0.560387;H05;0.560218;H05;0.557803;N02;0.557371;I08;0.554051;I05;0.553921;I08;0.553505;I05;0.552293;arrowhead06;0.551991;I08;0.55065;
10,T,1,4,32,10-D02-1;10-H01-1;10-H05-1;10-H08-1;10-I08-1;10-I04-1;10-N07-1;10-N02-1;10-P02-1;10-P06-1;10-T05-1;10-T05-1;10-X10-1;10-X03-1;10-arrowhead04-1;10-arrowhead08-1;10-asterisk06-1;10-asterisk08-1;10-exclamation_point06-1;10-exclamation_point07-1;10-five_point_star09-1;10-five_point_star05-1;10-half_note04-1;10-half_note10-1;10-line07-1;10-line10-1;10-null08-1;10-null05-1;10-six_point_star01-1;10-six_point_star01-1;10-six_point_star08-1;10-six_point_star07-1;,10-T05,T,1,0.998869,10-T05,T05;0.998869;T05;0.998869;X10;0.750783;X03;0.722682;N07;0.703391;X03;0.702787;H08;0.69943;H08;0.691946;I04;0.690456;H05;0.689846;H01;0.688841;H05;0.688067;I04;0.685766;H01;0.684202;N02;0.683335;I08;0.681448;H08;0.681243;X03;0.674385;H01;0.671975;I04;0.669326;arrowhead04;0.669121;arrowhead08;0.667508;X10;0.667448;I04;0.666078;H05;0.662685;line10;0.660318;I08;0.659031;exclamation_point06;0.654553;exclamation_point06;0.654541;line07;0.654199;line07;0.654014;H05;0.653551;exclamation_point06;0.651294;exclamation_point06;0.650552;H08;0.650083;null05;0.644596;X10;0.643625;N07;0.640477;N02;0.637594;line10;0.636935;exclamation_point07;0.636766;arrowhead04;0.635618;exclamation_point07;0.635492;H08;0.63542;T05;0.633097;T05;0.633097;half_note10;0.63135;H08;0.628526;exclamation_point06;0.627308;H05;0.626828;
10,P,2,4,32,10-D05-2;10-D06-2;10-H06-2;10-H08-2;10-I06-2;10-I08-2;10-N03-2;10-N10-2;10-P04-2;10-P09-2;10-T03-2;10-X01-2;10-X08-2;10-X04-2;10-arrowhead09-2;10-asterisk01-2;10-asterisk09-2;10-asterisk08-2;10-exclamation_point08-2;10-exclamation_point02-2;10-five_point_star02-2;10-five_point_star06-2;10-half_note10-2;10-half_note02-2;10-null01-2;10-line06-2;10-pitchfork01-2;10-pitchfork01-2;10-pitchfork04-2;10-pitchfork07-2;10-six_point_star05-2;10-six_point_star10-2;,10-P01,P,1,0.926022,10-P09,P09;0.926022;P04;0.842384;N03;0.775873;N03;0.772869;N03;0.767704;H06;0.766944;N10;0.763963;H08;0.758448;N10;0.75481;N03;0.750407;H06;0.747098;half_note02;0.745549;N10;0.730423;arrowhead09;0.718187;H08;0.714013;H08;0.704369;asterisk09;0.700766;H06;0.695551;half_note10;0.687498;asterisk01;0.686591;half_note02;0.686355;asterisk09;0.680505;asterisk08;0.679585;P04;0.675617;asterisk08;0.673191;P09;0.669691;null01;0.669312;asterisk09;0.667458;H08;0.665471;X04;0.660505;asterisk01;0.660205;half_note10;0.659135;asterisk09;0.651883;D06;0.650395;asterisk08;0.649154;asterisk08;0.647826;asterisk08;0.647043;D05;0.645055;pitchfork01;0.642251;pitchfork01;0.642251;asterisk08;0.640682;I08;0.639577;H06;0.638161;asterisk08;0.638113;H08;0.637297;asterisk01;0.636373;asterisk08;0.634828;H06;0.633602;asterisk09;0.633349;asterisk09;0.632428;
10,X,1,5,32,10-D06-1;10-D06-1;10-H06-1;10-H06-1;10-I10-1;10-I03-1;10-N05-1;10-N04-1;10-P10-1;10-P10-1;10-X01-1;10-T05-1;10-X05-1;10-X02-1;10-arrowhead07-1;10-arrowhead03-1;10-asterisk02-1;10-asterisk04-1;10-exclamation_point08-1;10-exclamation_point05-1;10-five_point_star08-1;10-five_point_star05-1;10-half_note04-1;10-half_note09-1;10-line10-1;10-line06-1;10-null04-1;10-null02-1;10-six_point_star01-1;10-pitchfork02-1;10-six_point_star03-1;10-six_point_star07-1;,10-X06,X,1,0.919907,10-X01,X01;0.919907;X05;0.918552;X02;0.8895;X02;0.86865;X01;0.843605;X05;0.84059;X02;0.806388;X02;0.77857;pitchfork02;0.760532;arrowhead03;0.755791;arrowhead07;0.755378;X05;0.753283;T05;0.739337;X01;0.731805;N05;0.731757;exclamation_point05;0.72503;exclamation_point05;0.72503;X01;0.721822;T05;0.720915;N05;0.717863;X05;0.71573;N04;0.711427;exclamation_point08;0.705889;H06;0.705212;H06;0.705212;asterisk04;0.704761;exclamation_point08;0.704313;N04;0.699744;pitchfork02;0.685694;arrowhead07;0.682935;asterisk02;0.681201;asterisk04;0.679202;half_note09;0.676554;I03;0.671422;I10;0.669755;N05;0.669386;arrowhead03;0.667745;half_note04;0.665828;N05;0.661483;I03;0.658592;I10;0.653389;null04;0.650267;null04;0.646226;arrowhead03;0.643817;H06;0.638975;H06;0.638975;asterisk02;0.638659;N04;0.638472;I10;0.636544;N04;0.635777;
10,arrowhead,2,5,32,10-D07-2;10-D10-2;10-H02-2;10-H05-2;10-I02-2;10-I04-2;10-N06-2;10-N03-2;10-P02-2;10-P07-2;10-T08-2;10-T05-2;10-X02-2;10-X07-2;10-arrowhead06-2;10-asterisk01-2;10-asterisk04-2;10-asterisk08-2;10-exclamation_point08-2;10-exclamation_point02-2;10-five_point_star07-2;10-five_point_star04-2;10-half_note08-2;10-half_note03-2;10-line02-2;10-line09-2;10-null03-2;10-null05-2;10-pitchfork09-2;10-pitchfork10-2;10-six_point_star10-2;10-six_point_star02-2;,10-arrowhead09,arrowhead,1,0.921580,10-arrowhead06,arrowhead06;0.92158;X07;0.745944;X02;0.729447;X02;0.70877;I02;0.69678;half_note03;0.692422;N03;0.685108;T05;0.683638;N06;0.682888;N03;0.682347;H02;0.681451;N06;0.680544;N06;0.680012;T08;0.678976;H05;0.674432;D10;0.672351;N03;0.669343;half_note08;0.665802;asterisk08;0.662095;I02;0.661433;X07;0.659585;exclamation_point08;0.658161;T05;0.657621;exclamation_point08;0.654901;D07;0.654004;exclamation_point02;0.646702;T08;0.645645;exclamation_point02;0.645447;I02;0.644132;I04;0.640385;pitchfork09;0.636557;I04;0.634247;H02;0.633633;P02;0.629038;asterisk08;0.628128;exclamation_point08;0.628109;five_point_star07;0.627386;N03;0.625653;X07;0.62536;exclamation_point08;0.625248;H02;0.624313;pitchfork10;0.623998;asterisk01;0.62233;P07;0.622154;exclamation_point08;0.621781;H05;0.621603;exclamation_point08;0.620003;exclamation_point02;0.619681;exclamation_point02;0.619657;line09;0.617542;
